id,issue,milestone,estimate,spent
13,Prepare time reports,Project setup,28800,9000
12,Parameters for the physical model,Physical model,57600,0
11,Define Issues,Project setup,7200,5400
10,Kick-off Meeting,Project setup,5400,0
9,Setup a website with all the links,Project setup,14400,14400
8,Setup Android project,Project setup,10800,5400
7,Create Mockups,None,0,0
6,Generate Track Files for Testing,None,0,0
5,Setup a latex template,Project setup,7200,3600
4,Define milestones,Project setup,7200,5400
3,Create a physical model,None,0,0
2,Setup CI,Project setup,7200,3600
1,Functional tests support,None,0,0
